deposit_chain,deposit_chain_id,withdrawal_chain,withdrawal_chain_id,bridge_name,bridge_version,deposit_block_date,deposit_block_time,deposit_block_number,withdrawal_block_date,withdrawal_block_time,withdrawal_block_number,deposit_amount_raw,deposit_amount,withdrawal_amount_raw,withdrawal_amount,amount_usd,sender,recipient,deposit_token_standard,withdrawal_token_standard,deposit_token_address,withdrawal_token_address,deposit_tx_from,deposit_tx_hash,withdrawal_tx_hash,bridge_transfer_id,duplicate_index
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 23:13:37.000 UTC,68895311,,,,0.05667137789508218,5.667137789508218e-20,,,1.1815132220456208e-20,0x4cc49731936aa84971c63ebf7d8d528b59865972,0x4cc49731936aa84971c63ebf7d8d528b59865972,native,,0x0000000000000000000000000000000000001010,,0x4cc49731936aa84971c63ebf7d8d528b59865972,0xb6d0f622508bc98ae4eac55f0d583d0a369c1cd6179480fb2be543706343c74f,,1e83a3d8d984e83eed3d85509842bb31,1
polygon,,hyperliquid,367,LayerZero,1,2025-07-20 00:00:00.000 UTC,2025-07-20 17:57:27.000 UTC,74198954,,,,0.055359285431914165,5.535928543191416e-20,,,1.3854214772190836e-20,0x39f7145a8975226e5c5668d377716381b27d3e6c,0x39f7145a8975226e5c5668d377716381b27d3e6c,native,,0x0000000000000000000000000000000000001010,,0x39f7145a8975226e5c5668d377716381b27d3e6c,0xe45c3a3a919550690f294b97ca58a2bd5263a01908c5c88870c63cc9fe2c692e,,c74523213bac108a6d7abdcc916a8ccc,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 22:23:35.000 UTC,68893899,,,,0.05084201503508711,5.084201503508711e-20,,,1.0570004083779576e-20,0xa6851a21ed317a44c49c2d9aada18c7d0ab8f592,0xa6851a21ed317a44c49c2d9aada18c7d0ab8f592,native,,0x0000000000000000000000000000000000001010,,0xa6851a21ed317a44c49c2d9aada18c7d0ab8f592,0x26de95f0c9db1bc8baedea45fc69293b76d014cd5c0514f2f17c696595dc80d8,,263f564b5f3d166f058ab974969bb928,1
polygon,,hyperliquid,9029,Orbiter,1,2025-10-13 00:00:00.000 UTC,2025-10-13 14:54:41.000 UTC,77631303,,,,150109029,150.109029,,,150.166670867136,0x49ff0a1498fe3d580c7b3b22a8b76cbf20bfab37,0x49ff0a1498fe3d580c7b3b22a8b76cbf20bfab37,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0x49ff0a1498fe3d580c7b3b22a8b76cbf20bfab37,0xb3fd57e237197d16285ec44a9e3e7e7cd8719b216d4fb4be9a75aeb6aa840a63,,b42f8dfc8463a97fd30d6929eaae127f,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 22:22:41.000 UTC,68893873,,,,0.05084201503508711,5.084201503508711e-20,,,1.0570004083779576e-20,0xf185b54960ce1c20fe204a5bacc73d63279b90d8,0xf185b54960ce1c20fe204a5bacc73d63279b90d8,native,,0x0000000000000000000000000000000000001010,,0xf185b54960ce1c20fe204a5bacc73d63279b90d8,0xd2264142b44a8cbdc07fb1fee9893f4cfa38fe17514e43534e22d11de47dc2e4,,beaa5d3b71e0d3c1d722bbbbf7f0a183,1
polygon,,hyperliquid,9029,Orbiter,1,2025-11-06 00:00:00.000 UTC,2025-11-06 22:31:15.000 UTC,78681706,,,,17009029,17.009029,,,17.020663175835995,0xa9bebb53ed65cf1618265e23d1861d93025ef22d,0xa9bebb53ed65cf1618265e23d1861d93025ef22d,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0xa9bebb53ed65cf1618265e23d1861d93025ef22d,0xf1ade91f517cfab01e9a4f653d1c1c4b463589464ed0846f295efd26bde6c7c5,,48b4a4467ee6a9e07f1a9a7639e11dc0,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-28 00:00:00.000 UTC,2025-03-28 13:20:46.000 UTC,69604403,,,,0.059489640070966576,5.948964007096658e-20,,,1.2671590783316234e-20,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,native,,0x0000000000000000000000000000000000001010,,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0x394488ae92e8c7172f4114fb23d6bc7859d18ecaef66c3cb80ad916c0cd2a195,,407e92a5cdf2b6d5fd663968745ca6bf,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 16:04:11.000 UTC,68883393,,,,0.045763054200631766,4.576305420063177e-20,,,1.0122055380312536e-20,0x3d854c9163c0745e1b6d6c0fc9cde9d079566a7a,0x3d854c9163c0745e1b6d6c0fc9cde9d079566a7a,native,,0x0000000000000000000000000000000000001010,,0x3d854c9163c0745e1b6d6c0fc9cde9d079566a7a,0x1fff9f8994c0972ad8d58937ba48633cbefc529a176e61bc03d667d03317fb74,,ac084f73963e9175aa21b9b2af6058a2,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-28 00:00:00.000 UTC,2025-03-28 13:14:12.000 UTC,69604218,,,,0.05467004910146191,5.467004910146191e-20,,,1.16115904088559e-20,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,native,,0x0000000000000000000000000000000000001010,,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xafe116240def769bff320e7bba01cec2a1f74e7d4f347f5fbdd9cefd4216c7b1,,6686ab0258d3ec30559e0b74f3a695e9,1
polygon,,hyperliquid,367,LayerZero,1,2025-04-05 00:00:00.000 UTC,2025-04-05 21:18:56.000 UTC,69941445,,,,0.05628291535546773,5.628291535546773e-20,,,1.0533629023352561e-20,0xc645d5992d5dc118748884c8a821898be0564a39,0xc645d5992d5dc118748884c8a821898be0564a39,native,,0x0000000000000000000000000000000000001010,,0xc645d5992d5dc118748884c8a821898be0564a39,0x2d1ce89b184592c9004b83d118d8cd9c708c7f0af4f1e70a3037c65a80977300,,2e5b9a5ced1035b21f551d2b7d877178,1
polygon,,hyperliquid,9029,Orbiter,1,2025-08-09 00:00:00.000 UTC,2025-08-09 20:54:47.000 UTC,75005921,,,,10099029,10.099029,,,10.089788388465001,0x3bbacbae1ccfdecefee789a8a3cf651a1a9d5d6f,0x3bbacbae1ccfdecefee789a8a3cf651a1a9d5d6f,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0x3bbacbae1ccfdecefee789a8a3cf651a1a9d5d6f,0x88f59626b054df8a93cfd4004283142921e8216b103580a207884f8b9bdbed9e,,08e6281f89b0657f185a95d84025e306,1
